Date,Open,High,Low,Close,Volume
12/26/2019,"145.97","146.18","145.16","145.83","3,020,481"
12/24/2019,"146.00","146.01","145.26","145.93","4,238,924"
12/23/2019,"145.74","146.76","145.34","146.44","6,559,466"
12/20/2019,"146.88","147.84","144.80","146.06","14,533,000"
12/19/2019,"143.89","145.88","143.61","145.35","9,874,889"
12/18/2019,"143.72","143.88","142.74","143.19","7,849,413"
12/17/2019,"143.00","144.05","142.52","143.56","10,724,070"
12/16/2019,"141.73","142.85","141.49","141.79","5,353,158"
12/13/2019,"141.10","141.80","140.31","141.38","4,257,175"
12/12/2019,"141.32","142.06","140.73","141.34","5,012,506"
12/11/2019,"140.93","141.98","140.63","140.98","6,631,591"
12/10/2019,"140.80","141.00","139.91","139.99","5,310,783"
12/09/2019,"140.39","140.81","140.06","140.50","4,260,566"
12/06/2019,"139.46","141.58","139.46","140.38","6,640,534"
12/05/2019,"139.35","139.75","137.95","139.56","5,473,037"
12/04/2019,"138.50","139.74","138.04","139.38","7,257,393"
12/03/2019,"136.91","137.45","136.16","137.16","6,419,310"
12/02/2019,"137.72","137.85","136.85","137.36","4,717,317"
11/29/2019,"137.60","138.27","136.94","137.49","3,278,854"
11/27/2019,"137.16","138.25","136.90","137.75","5,522,951"
11/26/2019,"136.47","137.34","135.15","137.17","10,637,410"
11/25/2019,"137.06","137.65","136.24","137.18","6,111,909"
11/22/2019,"136.65","138.63","136.50","138.07","9,235,894"
11/21/2019,"135.94","136.85","135.00","136.44","6,424,868"
11/20/2019,"135.11","136.34","134.07","135.94","7,600,882"
11/19/2019,"135.00","135.19","134.21","134.82","5,192,243"
11/18/2019,"134.22","135.69","132.66","134.83","9,293,614"
11/15/2019,"131.25","134.97","130.78","134.94","10,495,620"
11/14/2019,"131.03","131.36","130.14","130.96","4,217,472"
11/13/2019,"131.04","131.49","130.72","131.27","5,921,414"
11/12/2019,"132.00","132.09","131.02","131.35","5,229,157"
11/11/2019,"132.27","132.52","131.33","131.98","4,371,362"
11/08/2019,"131.30","133.04","130.97","133.00","5,003,528"
11/07/2019,"131.73","132.38","131.01","131.43","5,874,081"
11/06/2019,"130.42","131.48","129.70","130.96","5,450,031"
11/05/2019,"130.53","131.47","129.68","130.42","6,257,266"
11/04/2019,"131.80","131.95","130.09","130.23","6,140,323"
11/01/2019,"132.05","133.00","131.14","131.20","5,541,792"
10/31/2019,"132.38","132.84","130.89","132.04","7,686,682"
10/30/2019,"133.30","133.53","131.73","132.84","9,627,603"
10/29/2019,"129.70","129.97","128.56","129.12","4,506,298"
10/28/2019,"128.62","130.00","128.51","129.18","7,876,303"
10/25/2019,"127.83","129.10","127.31","128.35","6,947,250"
10/24/2019,"130.42","130.58","126.10","127.50","12,146,360"
10/23/2019,"129.66","130.48","129.07","129.90","6,722,254"
10/22/2019,"128.76","130.54","128.09","129.20","7,625,647"
10/21/2019,"128.67","129.67","127.06","128.02","14,107,410"
10/18/2019,"133.31","134.39","127.70","127.70","25,879,461"
10/17/2019,"135.96","137.49","135.65","136.17","8,612,673"
10/16/2019,"134.90","136.59","133.80","135.17","12,463,870"
10/15/2019,"133.00","134.25","132.10","132.84","10,048,880"
10/14/2019,"131.36","131.36","130.42","130.72","5,851,866"
10/11/2019,"131.14","132.62","130.82","131.33","7,187,687"
10/10/2019,"128.95","130.12","128.63","129.06","5,265,916"
10/09/2019,"131.14","131.25","128.52","129.22","7,854,729"
10/08/2019,"132.45","133.27","131.49","131.84","7,926,935"
10/07/2019,"133.09","133.83","132.14","133.16","5,437,161"
10/04/2019,"131.34","133.72","131.25","133.66","7,240,361"
10/03/2019,"131.64","132.37","130.01","131.19","7,413,819"
10/02/2019,"132.76","134.70","131.22","132.00","12,088,620"
10/01/2019,"130.02","130.80","129.77","129.99","7,706,218"
