Date,Open,High,Low,Close,Volume,Stock Name,id
1/29/20,240.32,244.33,238.77,243.66,998493,LULU,172
1/28/20,238.66,240.19,236.33,239.35,971529,LULU,173
1/27/20,233.8,237.87,231.84,236.74,1292033,LULU,174
1/24/20,243.74,245.06,239.27,240.35,938342,LULU,175
1/23/20,242.62,244.28,241.5,243.06,868687,LULU,176
1/22/20,243.3,246.02,243.06,244.3,1205824,LULU,177
1/21/20,241.43,243.48,240.0,242.52,1604776,LULU,178
1/17/20,245.51,245.73,241.15,241.25,1335697,LULU,179
1/16/20,245.0,245.52,241.79,243.71,1409674,LULU,180
1/15/20,245.15,246.04,243.39,243.49,996886,LULU,181
1/14/20,246.28,247.51,243.45,243.77,1644341,LULU,182
1/13/20,238.57,245.35,238.11,245.18,4120297,LULU,183
1/10/20,236.21,236.28,233.26,234.84,1178265,LULU,184
1/9/20,239.22,239.47,235.29,235.9,1141626,LULU,185
1/8/20,234.88,238.01,234.01,237.27,1884976,LULU,186
1/7/20,235.5,236.85,233.34,233.7,1375380,LULU,187
1/6/20,231.49,235.53,230.8,235.43,1461113,LULU,188
1/3/20,231.24,234.5,230.23,232.64,1316345,LULU,189
1/2/20,232.9,233.47,231.77,233.42,1439799,LULU,190
12/31/19,231.14,232.0,229.67,231.67,943316,LULU,191
12/30/19,229.8,231.75,227.53,230.83,1204373,LULU,192
12/27/19,232.56,232.79,229.76,230.02,1516603,LULU,193
12/26/19,229.39,233.42,229.31,231.17,1794241,LULU,194
12/24/19,228.47,229.41,227.11,229.03,613562,LULU,195
12/23/19,230.8,231.14,227.07,228.13,1453375,LULU,196
12/20/19,224.69,230.57,224.39,230.29,3297909,LULU,197
12/19/19,223.79,224.75,222.27,224.13,1809317,LULU,198
12/18/19,223.97,225.6,223.3,224.31,2072329,LULU,199
12/17/19,225.83,226.44,221.46,222.98,2311282,LULU,200
12/16/19,224.72,227.32,223.76,225.35,2771723,LULU,201
12/13/19,220.43,225.5,218.81,223.55,5234149,LULU,202
12/12/19,226.05,228.82,218.18,224.47,11290620,LULU,203
12/11/19,229.9,235.5,228.0,233.19,5349572,LULU,204
12/10/19,231.67,231.7,227.07,229.65,2925406,LULU,205
12/9/19,232.03,233.53,230.23,230.88,2142526,LULU,206
12/6/19,232.56,233.12,229.06,229.38,1924583,LULU,207
12/5/19,227.5,230.82,226.28,230.79,1390247,LULU,208
12/4/19,225.0,226.33,223.48,225.58,1555791,LULU,209
12/3/19,222.57,223.99,220.9,223.19,1471440,LULU,210
12/2/19,226.25,227.0,222.81,225.53,1421746,LULU,211
11/29/19,228.74,228.84,225.57,225.69,783515,LULU,212
11/27/19,223.89,229.65,223.04,228.83,1774630,LULU,213
11/26/19,223.26,225.01,220.25,222.84,1522024,LULU,214
11/25/19,222.03,226.66,222.0,222.16,1814868,LULU,215
11/22/19,218.0,220.0,215.11,219.9,1998779,LULU,216
11/21/19,216.98,218.9,216.51,216.74,978319,LULU,217
11/20/19,216.84,218.06,215.33,217.04,1534639,LULU,218
11/19/19,217.79,219.97,216.51,216.88,1731043,LULU,219
11/18/19,214.5,219.08,213.91,218.46,2023672,LULU,220
11/15/19,214.31,216.05,212.26,215.91,1492783,LULU,221
11/14/19,210.04,213.64,210.0,213.22,1253282,LULU,222
11/13/19,207.59,211.31,206.96,211.11,1740785,LULU,223
11/12/19,207.18,208.74,206.67,207.81,1728112,LULU,224
11/11/19,203.25,207.19,202.69,207.19,1262687,LULU,225
11/8/19,202.58,204.31,202.27,204.13,1302726,LULU,226
11/7/19,202.0,203.55,200.9,202.82,1791363,LULU,227
11/6/19,196.98,200.9,194.29,200.74,2484817,LULU,228
11/5/19,197.0,197.89,191.21,194.34,2104589,LULU,229
11/4/19,203.89,204.0,194.15,196.48,2671017,LULU,230
11/1/19,205.18,205.66,199.23,200.69,2010645,LULU,231
10/31/19,205.35,207.4,203.15,204.27,1802479,LULU,232
10/30/19,205.77,206.11,204.3,205.85,1283630,LULU,233
10/29/19,206.13,207.48,204.66,205.58,1179086,LULU,234
10/28/19,203.9,207.53,203.0,205.97,2423928,LULU,235
10/25/19,206.35,208.06,205.0,208.0,993525,LULU,236
10/24/19,205.22,206.88,204.91,206.84,838362,LULU,237
10/23/19,204.05,206.42,203.5,205.46,1072758,LULU,238
10/22/19,206.42,207.17,203.96,204.4,1045232,LULU,239
10/21/19,207.16,207.65,203.0,205.28,1570296,LULU,240
10/18/19,203.7,209.02,203.31,207.11,2359043,LULU,241
10/17/19,204.8,205.65,204.23,204.96,1309839,LULU,242
10/16/19,202.36,203.93,201.67,203.08,1452582,LULU,243
10/15/19,203.4,205.4,202.31,203.89,2065306,LULU,244
10/14/19,201.89,205.11,201.24,203.04,1850606,LULU,245
10/11/19,199.55,202.98,199.55,201.62,2293478,LULU,246
10/10/19,192.28,198.22,191.61,198.13,2474343,LULU,247
10/9/19,193.85,194.5,192.0,192.16,922941,LULU,248
10/8/19,190.06,194.24,188.94,191.37,1157907,LULU,249
10/7/19,191.92,193.4,190.81,191.66,1168224,LULU,250
10/4/19,190.45,193.43,189.95,193.12,1200477,LULU,251
10/3/19,188.76,190.3,185.36,190.15,1400034,LULU,252
10/2/19,190.92,191.75,187.12,189.13,1353644,LULU,253
10/1/19,193.41,194.07,191.32,192.69,1324128,LULU,254
